id,category_id,category_name,category_count_ratio,mask_count_ratio
0,0,background,1.00,0.1653
1,0,background,1.00,0.1655
2,0,background,0.99,0.2544
3,50,fried meat,1.00,0.1094
4,70,potato,0.84,0.0086
5,0,background,1.00,0.0107
6,70,potato,0.96,0.1211
7,98,shiitake,0.60,0.0051
8,50,fried meat,0.94,0.0061
9,0,background,1.00,0.0026
10,0,background,1.00,0.1748
11,0,background,1.00,0.0010
12,0,background,0.89,0.0012
13,0,background,0.93,0.0013
14,50,fried meat,1.00,0.0060
15,70,potato,1.00,0.0027
16,98,shiitake,0.73,0.0067
17,0,background,1.00,0.0044
18,50,fried meat,0.98,0.0049
19,0,background,1.00,0.0009
20,70,potato,0.56,0.0112
21,0,background,1.00,0.0022
22,70,potato,1.00,0.0018
23,70,potato,1.00,0.0024
24,0,background,1.00,0.0011
25,70,potato,0.97,0.0040
26,0,background,0.95,0.0064
27,50,fried meat,1.00,0.0017
28,70,potato,1.00,0.0041
29,70,potato,1.00,0.0021
30,50,fried meat,1.00,0.0048
31,0,background,1.00,0.0108
32,70,potato,0.88,0.0224
33,70,potato,1.00,0.0023
34,0,background,1.00,0.0018
35,50,fried meat,0.84,0.2240
36,70,potato,0.97,0.0013
37,0,background,1.00,0.0095
38,70,potato,1.00,0.0018
39,50,fried meat,0.53,0.0036
40,50,fried meat,1.00,0.0013
41,50,fried meat,1.00,0.0034
42,50,fried meat,0.51,0.0048
43,50,fried meat,0.93,0.0027
44,70,potato,0.82,0.0008
45,50,fried meat,0.46,0.0019
46,70,potato,0.50,0.0026
47,70,potato,0.40,0.0019
48,0,background,1.00,0.0051
49,50,fried meat,0.99,0.0063
50,50,fried meat,0.96,0.0016
51,50,fried meat,0.98,0.0017
52,0,background,1.00,0.0013
53,70,potato,1.00,0.0027
54,50,fried meat,1.00,0.0012
55,50,fried meat,0.71,0.0028
56,70,potato,1.00,0.0018
57,50,fried meat,1.00,0.0023
58,0,background,1.00,0.0110
59,50,fried meat,0.99,0.0201
60,0,background,1.00,0.0489
61,70,potato,0.56,0.0114
62,50,fried meat,0.98,0.0045
63,50,fried meat,1.00,0.0011
64,50,fried meat,1.00,0.0027
65,70,potato,0.84,0.0088
66,0,background,1.00,0.0489
67,98,shiitake,0.64,0.0108
68,70,potato,1.00,0.0006
69,0,background,1.00,0.0541
70,0,background,1.00,0.0006
71,0,background,1.00,0.0002
72,50,fried meat,0.98,0.0038
73,0,background,0.97,0.0112
74,70,potato,0.93,0.0011
75,0,background,1.00,0.0006
