id,category_id,category_name,category_count_ratio,mask_count_ratio
0,89,cilantro mint,1.00,0.1836
1,0,background,1.00,0.0252
2,0,background,0.96,0.2975
3,0,background,1.00,0.0206
4,89,cilantro mint,1.00,0.0072
5,0,background,1.00,0.1154
6,89,cilantro mint,1.00,0.0815
7,0,background,1.00,0.1153
8,89,cilantro mint,1.00,0.0083
9,0,background,1.00,0.1147
10,89,cilantro mint,0.99,0.0012
11,0,background,1.00,0.0171
12,89,cilantro mint,1.00,0.0034
13,0,background,1.00,0.0057
14,89,cilantro mint,0.48,0.0011
15,89,cilantro mint,0.96,0.0013
16,89,cilantro mint,1.00,0.0995
17,0,background,1.00,0.0233
18,89,cilantro mint,1.00,0.0062
19,89,cilantro mint,1.00,0.0015
20,89,cilantro mint,1.00,0.0031
21,89,cilantro mint,1.00,0.0008
22,0,background,1.00,0.0195
23,89,cilantro mint,1.00,0.0083
24,89,cilantro mint,1.00,0.0008
25,89,cilantro mint,1.00,0.0216
26,0,background,1.00,0.0233
27,89,cilantro mint,1.00,0.0038
28,89,cilantro mint,0.75,0.0022
29,89,cilantro mint,1.00,0.0023
30,0,background,1.00,0.0460
31,0,background,1.00,0.0007
32,89,cilantro mint,1.00,0.0009
33,89,cilantro mint,1.00,0.0031
34,89,cilantro mint,1.00,0.0023
35,0,background,1.00,0.0173
36,89,cilantro mint,1.00,0.0016
37,89,cilantro mint,1.00,0.0004
38,0,background,1.00,0.0036
39,0,background,1.00,0.0213
40,89,cilantro mint,1.00,0.0218
41,0,background,1.00,0.0023
42,0,background,1.00,0.0984
43,89,cilantro mint,1.00,0.0069
44,0,background,1.00,0.0069
45,89,cilantro mint,0.97,0.0015
46,89,cilantro mint,1.00,0.0028
47,0,background,1.00,0.0026
48,0,background,1.00,0.0017
49,89,cilantro mint,1.00,0.0071
50,89,cilantro mint,1.00,0.0013
51,0,background,1.00,0.0065
52,89,cilantro mint,1.00,0.0004
53,89,cilantro mint,1.00,0.0006
54,0,background,1.00,0.0064
55,0,background,1.00,0.0096
56,89,cilantro mint,0.99,0.0008
57,89,cilantro mint,1.00,0.0026
58,89,cilantro mint,1.00,0.0043
59,89,cilantro mint,1.00,0.0016
60,0,background,1.00,0.0008
61,89,cilantro mint,1.00,0.0023
62,89,cilantro mint,0.96,0.0016
63,89,cilantro mint,1.00,0.0022
64,89,cilantro mint,1.00,0.0003
65,0,background,1.00,0.0097
66,89,cilantro mint,1.00,0.0018
