id,category_id,category_name,category_count_ratio,mask_count_ratio
0,24,egg,0.93,0.0944
1,0,background,1.00,0.1774
2,0,background,1.00,0.5266
3,0,background,1.00,0.1788
4,0,background,1.00,0.1793
5,24,egg,0.88,0.0036
6,0,background,1.00,0.0116
7,0,background,1.00,0.0025
8,0,background,1.00,0.0183
9,24,egg,1.00,0.0037
10,0,background,1.00,0.0184
11,24,egg,0.64,0.0021
12,0,background,1.00,0.0019
13,0,background,1.00,0.0009
14,0,background,1.00,0.0007
15,0,background,1.00,0.0017
16,24,egg,0.98,0.0017
17,0,background,1.00,0.0075
18,24,egg,0.93,0.0038
19,24,egg,0.99,0.0053
20,0,background,1.00,0.0031
21,24,egg,0.79,0.0033
22,0,background,1.00,0.0029
23,24,egg,1.00,0.0013
24,0,background,1.00,0.0021
25,24,egg,1.00,0.0019
26,0,background,1.00,0.0014
27,24,egg,0.91,0.0075
28,0,background,1.00,0.0053
29,0,background,1.00,0.0005
30,24,egg,0.99,0.0011
31,24,egg,1.00,0.0014
