id,category_id,category_name,category_count_ratio,mask_count_ratio
0,0,background,1.00,0.1417
1,82,cucumber,1.00,0.0091
2,0,background,0.99,0.4562
3,47,pork,0.96,0.0051
4,82,cucumber,1.00,0.0071
5,47,pork,0.96,0.0088
6,82,cucumber,1.00,0.0061
7,47,pork,0.66,0.0070
8,82,cucumber,1.00,0.0024
9,82,cucumber,1.00,0.0094
10,82,cucumber,1.00,0.0074
11,0,background,1.00,0.1430
12,0,background,1.00,0.0027
13,82,cucumber,1.00,0.0058
14,47,pork,0.93,0.0087
15,47,pork,0.83,0.0179
16,0,background,1.00,0.0006
17,0,background,1.00,0.0311
18,82,cucumber,1.00,0.0041
19,0,background,1.00,0.0084
20,47,pork,0.83,0.0158
21,47,pork,0.81,0.0086
22,0,background,1.00,0.0019
23,0,background,1.00,0.0059
24,47,pork,0.96,0.0139
25,82,cucumber,1.00,0.0035
26,0,background,1.00,0.0010
27,47,pork,0.83,0.0158
28,0,background,1.00,0.0021
29,0,background,1.00,0.0035
30,0,background,1.00,0.0019
31,47,pork,0.57,0.0025
32,47,pork,0.86,0.0175
33,82,cucumber,1.00,0.0072
34,47,pork,0.71,0.0027
35,82,cucumber,0.99,0.0003
36,47,pork,0.76,0.0026
37,0,background,1.00,0.0184
38,47,pork,0.99,0.0197
39,0,background,1.00,0.0184
40,47,pork,0.68,0.0002
41,82,cucumber,1.00,0.0035
42,0,background,1.00,0.0050
43,0,background,1.00,0.0007
44,47,pork,0.91,0.0066
45,47,pork,0.99,0.0010
46,0,background,1.00,0.0100
47,0,background,1.00,0.0511
48,0,background,1.00,0.0013
49,0,background,1.00,0.0054
50,0,background,1.00,0.0006
51,0,background,1.00,0.0038
52,82,cucumber,0.75,0.0017
53,0,background,1.00,0.0011
54,0,background,1.00,0.0001
55,0,background,1.00,0.0005
56,82,cucumber,1.00,0.0135
57,0,background,1.00,0.0010
58,0,background,1.00,0.0002
59,82,cucumber,1.00,0.0121
