id,category_id,category_name,category_count_ratio,mask_count_ratio
0,0,background,1.00,0.3232
1,0,background,1.00,0.1761
2,78,ginger,0.44,0.0069
3,0,background,1.00,0.1798
4,70,potato,0.94,0.0081
5,0,background,1.00,0.1271
6,70,potato,0.97,0.0065
7,70,potato,0.99,0.0081
8,0,background,1.00,0.0233
9,70,potato,0.98,0.0127
10,0,background,1.00,0.0045
11,0,background,1.00,0.0331
12,0,background,1.00,0.0027
13,70,potato,0.97,0.0045
14,0,background,1.00,0.0068
15,0,background,1.00,0.0119
16,70,potato,0.96,0.0030
17,0,background,1.00,0.1253
18,0,background,1.00,0.0009
19,0,background,1.00,0.0065
20,0,background,1.00,0.0041
21,0,background,1.00,0.0022
22,0,background,1.00,0.0007
23,0,background,1.00,0.0055
24,0,background,1.00,0.0475
25,0,background,1.00,0.0008
26,0,background,1.00,0.0021
27,70,potato,0.97,0.0046
28,0,background,1.00,0.0109
29,70,potato,0.98,0.0035
30,0,background,1.00,0.0053
31,0,background,1.00,0.0022
32,0,background,1.00,0.0007
33,0,background,1.00,0.0008
34,0,background,1.00,0.0029
35,0,background,1.00,0.0022
36,0,background,1.00,0.0007
37,0,background,1.00,0.0021
38,0,background,1.00,0.0017
39,70,potato,0.98,0.0129
40,0,background,1.00,0.0111
41,0,background,1.00,0.0007
42,0,background,1.00,0.0008
43,0,background,1.00,0.0006
44,0,background,1.00,0.0012
45,0,background,1.00,0.0031
46,0,background,1.00,0.0025
47,0,background,1.00,0.0006
