id,category_id,category_name,category_count_ratio,mask_count_ratio
0,67,pie,0.72,0.0814
1,0,background,1.00,0.5325
2,0,background,1.00,0.1748
3,0,background,1.00,0.0008
4,67,pie,0.94,0.0121
5,0,background,1.00,0.0052
6,0,background,1.00,0.0022
7,0,background,1.00,0.0055
8,0,background,1.00,0.0475
9,0,background,1.00,0.0024
10,0,background,1.00,0.0212
11,67,pie,0.49,0.0022
12,0,background,1.00,0.0013
13,0,background,1.00,0.0009
14,67,pie,0.66,0.0259
15,0,background,1.00,0.0020
16,0,background,1.00,0.0011
17,0,background,1.00,0.0049
18,0,background,1.00,0.0016
19,67,pie,0.56,0.0046
20,67,pie,0.87,0.0053
21,0,background,1.00,0.0023
22,0,background,1.00,0.0020
23,67,pie,0.56,0.0046
24,0,background,1.00,0.0481
25,0,background,1.00,0.0481
26,0,background,1.00,0.0104
27,67,pie,0.70,0.0417
28,0,background,1.00,0.0104
29,67,pie,0.93,0.0124
