id,category_id,category_name,category_count_ratio,mask_count_ratio
0,0,background,1.00,0.1025
1,0,background,0.99,0.2400
2,77,rape,0.97,0.0073
3,0,background,1.00,0.0112
4,70,potato,0.96,0.0028
5,0,background,1.00,0.0012
6,70,potato,0.99,0.0045
7,72,cauliflower,0.59,0.0020
8,47,pork,1.00,0.0154
9,0,background,1.00,0.0821
10,70,potato,0.98,0.0022
11,47,pork,0.98,0.0153
12,77,rape,0.90,0.0013
13,0,background,1.00,0.0008
14,66,rice,0.92,0.0025
15,0,background,1.00,0.0033
16,77,rape,0.99,0.0014
17,0,background,1.00,0.0821
18,77,rape,1.00,0.0115
19,66,rice,0.71,0.0017
20,77,rape,1.00,0.0115
21,0,background,0.53,0.0011
22,0,background,1.00,0.0025
23,77,rape,1.00,0.0033
24,0,background,1.00,0.0245
25,70,potato,0.90,0.0021
26,0,background,1.00,0.0041
27,77,rape,1.00,0.0031
28,0,background,1.00,0.0018
29,77,rape,1.00,0.0031
30,47,pork,0.97,0.0040
31,70,potato,0.86,0.0015
32,77,rape,1.00,0.0004
33,77,rape,0.41,0.0008
34,0,background,1.00,0.0020
35,0,background,1.00,0.0004
36,0,background,1.00,0.0035
37,77,rape,1.00,0.0059
38,0,background,0.70,0.0012
39,77,rape,0.86,0.0021
40,70,potato,0.95,0.0045
41,77,rape,1.00,0.0013
42,77,rape,1.00,0.0063
43,103,other ingredients,0.64,0.0030
44,0,background,1.00,0.0009
45,70,potato,0.97,0.0151
46,0,background,1.00,0.1036
47,47,pork,0.95,0.0014
48,77,rape,0.38,0.0056
49,0,background,1.00,0.0048
50,70,potato,0.94,0.0006
51,103,other ingredients,0.51,0.0019
52,103,other ingredients,0.98,0.0012
53,0,background,1.00,0.0010
54,0,background,1.00,0.0137
55,77,rape,1.00,0.0150
56,77,rape,1.00,0.0021
57,0,background,1.00,0.0076
58,77,rape,1.00,0.0007
59,103,other ingredients,0.63,0.0003
60,0,background,1.00,0.0009
61,66,rice,0.51,0.0006
62,77,rape,1.00,0.0014
63,0,background,1.00,0.0048
64,70,potato,0.58,0.0005
65,103,other ingredients,0.60,0.0036
66,70,potato,0.84,0.0019
67,66,rice,1.00,0.0019
68,77,rape,0.39,0.0056
69,0,background,1.00,0.0005
70,0,background,1.00,0.0046
71,77,rape,0.83,0.0007
72,70,potato,0.93,0.0032
73,47,pork,0.92,0.0053
74,77,rape,1.00,0.0032
75,70,potato,0.79,0.0026
76,66,rice,1.00,0.0152
77,70,potato,0.97,0.0213
78,47,pork,1.00,0.0131
79,0,background,1.00,0.0017
80,70,potato,0.83,0.0009
81,77,rape,1.00,0.0003
82,103,other ingredients,0.61,0.0008
83,0,background,1.00,0.0599
84,47,pork,1.00,0.0019
85,0,background,0.94,0.0004
86,77,rape,0.83,0.0024
87,77,rape,1.00,0.0005
88,66,rice,0.76,0.0016
89,77,rape,1.00,0.0053
90,77,rape,1.00,0.0013
91,77,rape,0.90,0.0011
92,77,rape,1.00,0.0046
93,77,rape,1.00,0.0038
94,66,rice,1.00,0.0069
95,77,rape,1.00,0.0014
96,66,rice,1.00,0.0006
97,0,background,0.87,0.0003
98,103,other ingredients,0.93,0.0005
99,77,rape,0.56,0.0018
100,77,rape,0.96,0.0021
101,77,rape,1.00,0.0118
102,77,rape,0.57,0.0014
103,0,background,1.00,0.0030
104,77,rape,1.00,0.0045
105,0,background,0.99,0.0344
106,66,rice,0.78,0.0003
107,103,other ingredients,0.85,0.0011
108,77,rape,1.00,0.0013
109,70,potato,0.95,0.0074
110,0,background,1.00,0.0078
111,0,background,1.00,0.0013
112,70,potato,0.96,0.0215
113,47,pork,1.00,0.0133
