id,category_id,category_name,category_count_ratio,mask_count_ratio
0,0,background,1.00,0.1761
1,0,background,0.99,0.4126
2,89,cilantro mint,0.91,0.1388
3,0,background,1.00,0.1766
4,30,strawberry,0.96,0.0097
5,34,mango,0.48,0.0047
6,34,mango,0.89,0.0053
7,34,mango,0.48,0.0047
8,32,blueberry,0.99,0.0019
9,34,mango,0.67,0.0049
10,30,strawberry,0.96,0.0097
11,32,blueberry,0.91,0.0013
12,0,background,1.00,0.0017
13,34,mango,0.72,0.0099
14,30,strawberry,0.89,0.0076
15,89,cilantro mint,1.00,0.0036
16,43,melon,0.89,0.0048
17,34,mango,0.79,0.0074
18,0,background,0.76,0.0006
19,89,cilantro mint,1.00,0.0046
20,89,cilantro mint,1.00,0.0035
21,0,background,1.00,0.0010
22,89,cilantro mint,1.00,0.0140
23,0,background,1.00,0.0017
24,89,cilantro mint,1.00,0.0006
25,0,background,1.00,0.0021
26,0,background,1.00,0.0125
27,34,mango,0.78,0.0102
28,32,blueberry,0.91,0.0017
29,89,cilantro mint,1.00,0.0028
30,89,cilantro mint,1.00,0.0046
31,34,mango,0.78,0.0102
32,0,background,1.00,0.0012
33,89,cilantro mint,0.66,0.0004
34,32,blueberry,0.49,0.0017
35,89,cilantro mint,1.00,0.0037
36,89,cilantro mint,1.00,0.0106
37,89,cilantro mint,1.00,0.0017
38,89,cilantro mint,1.00,0.0017
39,0,background,1.00,0.0047
40,0,background,1.00,0.0108
41,32,blueberry,0.96,0.0033
42,89,cilantro mint,1.00,0.0090
43,89,cilantro mint,1.00,0.0017
44,0,background,1.00,0.0007
45,0,background,1.00,0.0036
46,0,background,1.00,0.0026
47,43,melon,0.94,0.0010
48,0,background,1.00,0.0030
49,43,melon,0.54,0.0097
50,89,cilantro mint,1.00,0.0008
51,0,background,1.00,0.0492
52,0,background,1.00,0.0493
53,89,cilantro mint,0.92,0.0012
54,32,blueberry,0.73,0.0006
55,89,cilantro mint,0.54,0.0011
56,32,blueberry,0.72,0.0016
57,89,cilantro mint,1.00,0.0075
58,89,cilantro mint,1.00,0.0011
59,0,background,1.00,0.0008
60,32,blueberry,1.00,0.0011
61,89,cilantro mint,1.00,0.0014
62,0,background,1.00,0.0490
63,0,background,0.47,0.0012
64,32,blueberry,0.96,0.0033
