id,category_id,category_name,category_count_ratio,mask_count_ratio
0,0,background,0.99,0.3047
1,73,tomato,1.00,0.0079
2,73,tomato,1.00,0.0067
3,73,tomato,1.00,0.0071
4,73,tomato,1.00,0.0069
5,73,tomato,1.00,0.0061
6,73,tomato,1.00,0.0072
7,0,background,1.00,0.0254
8,73,tomato,1.00,0.0067
9,0,background,1.00,0.0458
10,0,background,1.00,0.1152
11,73,tomato,1.00,0.0056
12,0,background,1.00,0.1388
13,0,background,1.00,0.1544
14,0,background,1.00,0.0264
15,0,background,1.00,0.0090
16,0,background,1.00,0.0350
17,0,background,1.00,0.1546
18,0,background,1.00,0.1166
19,0,background,1.00,0.0490
20,0,background,1.00,0.0025
21,0,background,1.00,0.0020
22,0,background,1.00,0.0411
23,0,background,1.00,0.0067
24,0,background,1.00,0.0463
25,0,background,1.00,0.0496
26,0,background,1.00,0.0033
27,73,tomato,1.00,0.0147
28,73,tomato,1.00,0.0147
29,73,tomato,1.00,0.0069
